ID,Category,Name,AssessmentStatus,Method,MethodOption,GetCommand,PostProcessCommand,User,RegistryPath,RegistryItem,ExpectedExit,RecommendedValue,TypeValue,Operator,Severity,Level
1001,Updates,Software Update : Automatically check new software updates,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,AutomaticCheckEnabled,,true,bool,=,Medium,1
1002,Updates,Software Update : Automatically download new software updates,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,AutomaticDownload,,true,bool,=,Medium,1
1003,Updates,Software Update : Enable system data files updates install,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,ConfigDataInstall,,true,bool,=,Medium,1
1004,Updates,Software Update : Enable security updates install,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,CriticalUpdateInstall,,true,bool,=,Medium,1
1005,Updates,Software Update : Automatically install macOS updates,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,AutomaticallyInstallMacOSUpdates,,true,bool,=,Medium,1
1100,Updates,AppStore : Automatically keep apps up to date from app store,Automatically,Registry,,,,,/Library/Preferences/com.apple.commerce,AutoUpdate,,true,bool,=,Medium,1
2000,Login/Logout,Sleep : AC display sleep timer,Automatically,PlistBuddy,-c,,,,/Library/Preferences/com.apple.PowerManagement.plist,'AC Power':'Display Sleep Timer',,30,int,<=,Medium,ND
2001,Login/Logout,Sleep : Battery display sleep timer,Automatically,PlistBuddy,-c,,,,/Library/Preferences/com.apple.PowerManagement.plist,'Battery Power':'Display Sleep Timer',,30,int,<=,Medium,ND
2100,Login/Logout,Screen Saver : Enable prompt for a password on screen saver,,Registry,,,,,com.apple.screensaver,askForPassword,,true,bool,=,High,ND
2101,Login/Logout,Screen Saver : Set password delay,,Registry,,,,,com.apple.screensaver,askForPasswordDelay,,0,int,<=,High,ND
2102,Login/Logout,Screen Saver : Set an inactivity interval for the screen saver,Automatically,Registry,-currentHost,,,username,com.apple.screensaver,idleTime,,1200,int,<=,Medium,1
2103:1,Login/Logout,Screen Saver : Secure screen saver corners (top-left),Automatically,Registry,,,,username,com.apple.dock,wvous-tl-corner,,6,int,!=,Medium,2
2103:2,Login/Logout,Screen Saver : Secure screen saver corners (bottom-left),Automatically,Registry,,,,username,com.apple.dock,wvous-bl-corner,,6,int,!=,Medium,2
2103:3,Login/Logout,Screen Saver : Secure screen saver corners (top-right),Automatically,Registry,,,,username,com.apple.dock,wvous-tr-corner,,6,int,!=,Medium,2
2103:4,Login/Logout,Screen Saver : Secure screen saver corners (bottom-right),Automatically,Registry,,,,username,com.apple.dock,wvous-br-corner,,6,int,!=,Medium,2
2200,Login/Logout,Policy Banner : Enable Policy Banner,,,,,,,,,,,,=,Low,ND
2300,Login/Logout,Logout : Set Logout delay,,Registry,,,,,/Library/Preferences/.GlobalPreferences,com.apple.autologout.AutoLogOutDelay,,3600,int,<=,High,ND
2400,Login/Logout,Windows text : Set Login Window Text,Automatically,Registry,,,,,/Library/Preferences/com.apple.loginwindow,LoginwindowText,,`hostname | awk -F. '{print $1}'`,string,=,Low,ND
2500,Login/Logout,Automatic login : Disable automatic login,Automatically,Registry,,,,,/Library/Preferences/com.apple.loginwindow,autoLoginUser,,false,bool,=,Medium,ND
2600,Login/Logout,Console : Disable console logon from the logon screen,,Registry,,,,,/Library/Preferences/com.apple.loginwindow,DisableConsoleAccess,,true,bool,=,Medium,ND
3000,User Preferences,iCloud : iCloud configuration,Manually,PlistBuddy,-c,,,,~/Library/Preferences/MobileMeAccounts.plist,Accounts:0:LoggedIn,,1,int,=,High,2
3001,User Preferences,iCloud : Enable Find my Mac,Manually,nvram,,,,,,fmm-mobileme-token-FMM,,2,int,=,High,ND
3102,User Preferences,Bluetooth : Disable Bluetooth Sharing,Automatically,Registry,-currentHost,,,username,com.apple.Bluetooth,PrefKeyServicesEnabled,,false,bool,=,Low,1
3201,User Preferences,Finder : Display all files extentions,,Registry,,,,,NSGlobalDomain,AppleShowAllExtensions,,true,bool,=,Medium,ND
3202,User Preferences,Finder : Show status bar,,Registry,,,,,com.apple.finder,ShowStatusBar,,true,bool,,Low,ND
3501,User Preferences,Sharing : Internet Sharing,Automatically,PlistBuddy,-c,,,,/Library/Preferences/SystemConfiguration/com.apple.nat.plist,NAT:Enabled,,0,int,=,Medium,1
3502,User Preferences,Sharing : Disable Screen Sharing,Automatically,launchctl,,,,,,com.apple.screensharing,,disable,enable/disable,=,Medium,1
3503,User Preferences,Sharing : Disable File Sharing,Automatically,launchctl,,,,,,com.apple.smbd,,disable,enable/disable,=,Medium,1
3504,User Preferences,Sharing : Disable DVD or CD Sharing,Automatically,launchctl,,,,,,com.apple.ODSAgent,,disable,enable/disable,=,Medium,1
3505,User Preferences,Sharing : Disable Media Sharing,Automatically,Registry,,,,username,com.apple.amp.mediasharingd,home-sharing-enabled,,0,int,=,Medium,1
3600,User Preferences,Location : Enable Location Services,Automatically,launchctl,,,,,,com.apple.locationd,disable,enable,enable/disable,=,Medium,2
3800,User Preferences,Advertisements : Limit Ad tracking and personalized Ads,Automatically,Registry,,,,,~/Library/Preferences/com.apple.AdLib,allowApplePersonalizedAdvertising,,false,bool,=,Medium,
4000,Protections,System intergrity protection : Enable System intergrity protection,,csrutil,,status,,,,,,enable,enable/disable,=,High,ND
4100,Protections,Gatekeeper : Enable Gatekeeper,,spctl,,--status,,,,,,enable,enable/disable,=,High,ND
4200,Protections,Secure Keyboard Entry : Enable Secure Keyboard Entry in Terminal.app,Automatically,Registry,,,,username,-app Terminal,SecureKeyboardEntry,,true,bool,=,Medium,1
4201,Protections,Secure Keyboard Entry : Enable Secure Keyboard Entry in iTerm.app,Automatically,Registry,,,,username,-app iTerm,SecureKeyboardEntry,,true,bool,=,Medium,1
5000,Encryption,FileVault : Enable FileVault,,fdesetup,,status,,,,,,enable,enable/disable,=,High,ND
6000,Network,Firewall : Enable Firewall,,Registry,,,,,/Library/Preferences/com.apple.alf,globalstate,,1,int,>=,High,ND
6001,Network,Firewall : Enable logging,,Registry,,,,,/Library/Preferences/com.apple.alf,loggingenabled,,true,bool,=,Low,ND
6002,Network,Firewall : Enable Stealth Mode,,Registry,,,,,/Library/Preferences/com.apple.alf,stealthenabled,,true,bool,=,Medium,ND
6003,Network,Firewall : Enable automatic software whitelisting,,Registry,,,,,/Library/Preferences/com.apple.alf,allowsignedenabled,,true,bool,=,Low,ND
6004,Network,Firewall : Enable automatic signed software whitelisting,,Registry,,,,,/Library/Preferences/com.apple.alf,allowdownloadsignedenabled,,true,bool,=,Low,ND
6005,Network,Firewall : Disable captive portal,,Registry,,,,,/Library/Preferences/SystemConfiguration/com.apple.captive.control,Active,,false,bool,=,Medium,ND
6010,Network,Firewall : No extra firewall built-in entries,,PlistBuddy,-c,,grep "^    " | grep Dict | wc -l | sed "s/ *//g",,/Library/Preferences/com.apple.alf.plist,:'firewall',,9,int,=,High,ND
6010:a,Network,Firewall : Personal Web Sharing process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Personal Web Sharing':'proc',,httpd,string,=,High,ND
6010:A,Network,Firewall : Disable Personal Web Sharing,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Personal Web Sharing':'state',,0,int,=,High,ND
6010:b,Network,Firewall : Printer Sharing process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Printer Sharing':'proc',,cupsd,string,=,High,ND
6010:B,Network,Firewall : Disable Printer Sharing,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Printer Sharing':'state',,0,int,=,High,ND
6010:c,Network,Firewall : Remote Apple Events process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Remote Apple Events':'proc',,AEServer,string,=,High,ND
6010:C,Network,Firewall : Disable Remote Apple Events,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Remote Apple Events':'state',,0,int,=,High,ND
6010:d,Network,Firewall : FTP Access process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'FTP Access':'proc',,ftpd,string,=,High,ND
6010:D,Network,Firewall : Disable FTP Access,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'FTP Access':'state',,0,int,=,High,ND
6010:e,Network,Firewall : Personal File Sharing process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Personal File Sharing':'proc',,AppleFileServer,string,=,High,ND
6010:E,Network,Firewall : Disable Personal File Sharing,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Personal File Sharing':'state',,0,int,=,High,ND
6010:f,Network,Firewall : Remote Login - SSH process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Remote Login - SSH':'proc',,sshd-keygen-wrapper,string,=,High,ND
6010:F,Network,Firewall : Enable Remote Login - SSH,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Remote Login - SSH':'state',,1,int,=,Low,ND
6010:g,Network,Firewall : Samba Sharing process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Samba Sharing':'proc',,smbd,string,=,High,ND
6010:G,Network,Firewall : Disable Samba Sharing,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Samba Sharing':'state',,0,int,=,High,ND
6010:h,Network,Firewall : Apple Remote Desktop process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Apple Remote Desktop':'proc',,AppleVNCServer,string,=,High,ND
6010:H,Network,Firewall : Enable Apple Remote Desktop,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'Apple Remote Desktop':'state',,1,int,=,Low,ND
6010:i,Network,Firewall : ODSAgent process is accurate,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'ODSAgent':'proc',,ODSAgent,string,=,High,ND
6010:I,Network,Firewall : Disable ODSAgent,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,'firewall':'ODSAgent':'state',,0,int,=,High,ND
6011,Network,Firewall : No extra firewall application entries,,PlistBuddy,-c,,grep "Does Not Exist" | wc -l | sed "s/ *//g",,/Library/Preferences/com.apple.alf.plist,:applications:2,1,1,int,=,High,ND
6011:0,Network,Firewall : Firewall allows Control Center,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,:applications:0:bundleid,,com.apple.controlcenter,string,=,Low,ND
6011:1,Network,Firewall : Firewall allows Dropbox,,PlistBuddy,-c,,,,/Library/Preferences/com.apple.alf.plist,:applications:1:bundleid,,com.getdropbox.dropbox,string,=,Low,ND
6012,Network,Firewall : Explicit Auths contains only expected values,,PlistBuddy,-c,,grep "id =" | sort | awk '{printf("%s;"<COMMA> $3)}',,/Library/Preferences/com.apple.alf.plist,:explicitauths,,com.apple.a2p;com.apple.javajdk16.cmd;com.apple.ksh;com.apple.nc;com.apple.php;com.apple.ruby;org.python.python.app;,string,=,High,ND
6100,Network,Remote Management : Disable Remote Management,,kickstart,,,,,,,,disable,bool,=,Medium,ND
8000,Siri,Disable Siri,Automatically,Registry,,,,username,com.apple.assistant.support.plist,'Assistant Enabled',,false,bool,=,Low,
